keyword	title	summary	content	url
삼성생명	생명보험사 '즉시연금' 소송 줄패소...긴장한 삼성생명	"  미래에셋ㆍ동양생명 줄줄이 패소24일 보험업계에 따르면 삼성생명의 즉시연금 공동소송 1심 판결이 오는 3월10일 나올 예정이다
미래에셋ㆍ동양생명 고객 승소 판결에 당황3월 삼성생명 1심 판결 예정, '약관' 내용 관건[이데일리 전선형 기자] 약 1조원에 육박하는 ‘즉시연금 미지급 보험금’을 두고 보험업계에 비상이 걸렸다
 미래에셋생명과 동양생명을 상대로 소비자들이 진행한 1심 소송에서 보험사가 줄패소하며 향후 이어질 다른 보험사의 법원 판결에도 영향을 미칠 것이란 예상에서다"	"미래에셋ㆍ동양생명 고객 승소 판결에 당황3월 삼성생명 1심 판결 예정, '약관' 내용 관건[이데일리 전선형 기자] 약 1조원에 육박하는 ‘즉시연금 미지급 보험금’을 두고 보험업계에 비상이 걸렸다
 미래에셋생명과 동양생명을 상대로 소비자들이 진행한 1심 소송에서 보험사가 줄패소하며 향후 이어질 다른 보험사의 법원 판결에도 영향을 미칠 것이란 예상에서다
 특히 즉시연금 사태의 시작이자, 중심에 서 있는 삼성생명은 유독 긴장하는 모습이다
  미래에셋ㆍ동양생명 줄줄이 패소24일 보험업계에 따르면 삼성생명의 즉시연금 공동소송 1심 판결이 오는 3월10일 나올 예정이다
 삼성생명은 지난 2019년 4월부터 약 2년여에 가까운 기간 동안 소송을 이어오고 있다
 한화생명과 교보생명은 3월, KB생명은 4월 최종변론기일을 거쳐 상반기에 판결이 나올 것으로 보인다
 삼성생명 본사 전경
(사진=삼성생명)즉시연금 미지급금 이슈는 지난 2017년 6월 삼성생명 한 보험가입자가 금융감독원 분쟁조정위원회(분조위)에 민원을 제기하면서 불거졌다
 즉시연금(상속 만기형)은 처음 가입 때 보험료를 한꺼번에 내면 보험사가 가입자에게 매달 이자를 지급하고 만기 때 처음 납부한 보험료 전액을 돌려주는 상품이다
 보험료 1억원을 일시불로 내면 다달이 이자를 연금처럼 받다가 만기 때 1억원을 받을 수 있다
 다만, 보험사들은 1억원을 돌려줄 재원을 마련한다는 목적으로 매달 지급하는 이자에서 일정 적립액(사업비 등)을 뗐다
 논란이 된 것은 바로 ‘적립액’ 부분이다
 소비자들은 ‘적립액을 뗀다’는 사실은 인지하지 못했다고 주장한다
 보험사는 약관에 명시돼 있다고 반박하고 있지만, 소비자들은 그 어떤 설명도 듣지 못했다며 2017년 금감원 분조위에 미지급금에 대한 조정을 신청했다
 당시 금감원은 ‘보험사가 약관에 분명하게 명시하지 않았다’는 점을 들어 생보사들에게 지급하지 않은 연금액을 모두 주라고 권고했다
 소비자의 편을 들어준 것이다
 하지만 생보사들은 이를 거부했다
 결국 소비자들은 금융소비자단체인 금융소비자연맹과 공동소송에 나섰고 결국 법정 다툼을 벌이게 됐다
 금융감독원이 2018년에 파악한 즉시연금 미지급금 분쟁 규모는 약 1조원에 가깝다
 이 중 삼성생명이 4300억원(5만5000명)으로 가장 많고, 이어 한화생명은 850억원(2만5000명), 교보생명은 700억원(1만5000명) 규모로 파악되고 있다
  삼성생명 약관, 동양생명과 유사…소송결과 ‘주목’즉시연금 공동소송은 약 2년여의 시간이 지난 지난해 말부터 이슈화하기 시작했다
 첫 번째로 판결이 난 곳은 지난 9월 NH농협생명이다
 NH농협생명은 소비자들을 상대로 승소했다
 하지만 이후 나온 미래에셋생명과 동양생명은 줄줄이 패소했다
 소송의 승패를 가른 건 상품의 ‘약관’ 설명이다
 적립액을 차감한다는 내용이 얼마나 상세하게 들어있느냐의 차이다
 NH농협생명의 약관에는 ‘가입 후 5년간 연금월액을 적게 해 5년 후 적립액이 보험료와 같도록 함’으로 기재돼 있다
 법원은 적립액 차감 내용이 명시적으로 들어있다고 판단했다
 하지만 미래에셋생명과 동양생명의 경우 설명이 부족했다고 봤다
 최근 판결이 난 동양생명의 당시 약관은 ‘피보험자(보험대상자)가 보험기간 중 매년 연금지급 해당일에 살아있을 때 연금개시시점의 ‘연금계약 적립액’을 기준으로 계산한 생존연금을 지급한다’로 명시돼있다
 법원은 “약관 문구만으로는 연금월액이 어떠한 방법으로 산출되는지 전혀 알 수 없다”며 소비자들의 손을 들어줬다
 관건은 미지급금 규모가 가장 큰 삼성생명의 약관이 동양생명과 유사하다는 점이다
 삼성생명의 당시 약관은 ‘연금지급 개시 시의 연금계약의 적립액을 기준으로 계산한 연금월액을 연금개시후 보험기간 동안 매월 계약 해당일에 지급’이라고 돼 있다
 순서는 조금 다르지만 상당한 유사점을 보인다
 현재 삼성생명은 별다른 입장표명을 하지 않고 있다
 동양생명 약관보다 좀 더 상세한 내용을 기술했다며 승소 자신감을 보이는 것으로 알려졌다
 한 보험업계 관계자는 “한화ㆍ교보생명은 미래에셋생명 약관과 거의 유사한 것으로 알고 있다”며 “삼성생명은 동양생명과 약관이 유사한 것으로 알려져 법원판결 결과에 관심이 집중되고 있다”고 말했다
 (그래픽=이동훈 기자)전선형 (sunnyjun@edaily
co
kr)▶ #24시간 빠른 #미리보는 뉴스 #eNews+▶ 네이버에서 '이데일리 뉴스'를 만나보세요▶ 빡침해소, 청춘뉘우스 '스냅타임'＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004836334
삼성생명	[포토]골밑 장악하는 삼성생명 김한별	"삼성생명 김한별(가운데)이 5일 용인체육관에서 열린 2020-2021 여자프로농구 삼성생명과 하나원큐의 경기에서 리바운드를 잡아내고 있다
com
 2021. 1. 25. 용인 | 박진업기자 upandup@sportsseoul"	"삼성생명 김한별(가운데)이 5일 용인체육관에서 열린 2020-2021 여자프로농구 삼성생명과 하나원큐의 경기에서 리바운드를 잡아내고 있다
 2021. 1. 25. 용인 | 박진업기자 upandup@sportsseoul
com[기사제보 news@sportsseoul
com]  Copyright ⓒ 스포츠서울&sportsseoul
com"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=468&aid=0000736659
삼성생명	[포토]삼성생명 이주연, 저돌적으로!	"삼성생명 이주연(오른쪽)이 5일 용인체육관에서 열린 2020-2021 여자프로농구 삼성생명과 하나원큐의 경기에서 하나원큐 강유림의 수비를 피해 슛을 하고 있다
 2021. 1. 25. 용인 | 박진업기자 upandup@sportsseoul
com[기사제보 news@sportsseoul"	"삼성생명 이주연(오른쪽)이 5일 용인체육관에서 열린 2020-2021 여자프로농구 삼성생명과 하나원큐의 경기에서 하나원큐 강유림의 수비를 피해 슛을 하고 있다
 2021. 1. 25. 용인 | 박진업기자 upandup@sportsseoul
com[기사제보 news@sportsseoul
com]  Copyright ⓒ 스포츠서울&sportsseoul
com"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=468&aid=0000736651
삼성생명	[포토]삼성생명 김한비, 힘겨운 슛	"삼성생명 김한비(왼쪽)가 5일 용인체육관에서 열린 2020-2021 여자프로농구 삼성생명과 하나원큐의 경기에서 하나원큐 김미연의 수비를 피해 슛을 하고 있다
com[기사제보 news@sportsseoul
 2021. 1. 25. 용인 | 박진업기자 upandup@sportsseoul"	"삼성생명 김한비(왼쪽)가 5일 용인체육관에서 열린 2020-2021 여자프로농구 삼성생명과 하나원큐의 경기에서 하나원큐 김미연의 수비를 피해 슛을 하고 있다
 2021. 1. 25. 용인 | 박진업기자 upandup@sportsseoul
com[기사제보 news@sportsseoul
com]  Copyright ⓒ 스포츠서울&sportsseoul
com"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=468&aid=0000736655
생명보험	생명보험사 '즉시연금' 소송 줄패소...긴장한 삼성생명	"미래에셋ㆍ동양생명 고객 승소 판결에 당황3월 삼성생명 1심 판결 예정, '약관' 내용 관건[이데일리 전선형 기자] 약 1조원에 육박하는 ‘즉시연금 미지급 보험금’을 두고 보험업계에 비상이 걸렸다
  미래에셋ㆍ동양생명 줄줄이 패소24일 보험업계에 따르면 삼성생명의 즉시연금 공동소송 1심 판결이 오는 3월10일 나올 예정이다
 즉시연금(상속 만기형)은 처음 가입 때 보험료를 한꺼번에 내면 보험사가 가입자에게 매달 이자를 지급하고 만기 때 처음 납부한 보험료 전액을 돌려주는 상품이다"	"미래에셋ㆍ동양생명 고객 승소 판결에 당황3월 삼성생명 1심 판결 예정, '약관' 내용 관건[이데일리 전선형 기자] 약 1조원에 육박하는 ‘즉시연금 미지급 보험금’을 두고 보험업계에 비상이 걸렸다
 미래에셋생명과 동양생명을 상대로 소비자들이 진행한 1심 소송에서 보험사가 줄패소하며 향후 이어질 다른 보험사의 법원 판결에도 영향을 미칠 것이란 예상에서다
 특히 즉시연금 사태의 시작이자, 중심에 서 있는 삼성생명은 유독 긴장하는 모습이다
  미래에셋ㆍ동양생명 줄줄이 패소24일 보험업계에 따르면 삼성생명의 즉시연금 공동소송 1심 판결이 오는 3월10일 나올 예정이다
 삼성생명은 지난 2019년 4월부터 약 2년여에 가까운 기간 동안 소송을 이어오고 있다
 한화생명과 교보생명은 3월, KB생명은 4월 최종변론기일을 거쳐 상반기에 판결이 나올 것으로 보인다
 삼성생명 본사 전경
(사진=삼성생명)즉시연금 미지급금 이슈는 지난 2017년 6월 삼성생명 한 보험가입자가 금융감독원 분쟁조정위원회(분조위)에 민원을 제기하면서 불거졌다
 즉시연금(상속 만기형)은 처음 가입 때 보험료를 한꺼번에 내면 보험사가 가입자에게 매달 이자를 지급하고 만기 때 처음 납부한 보험료 전액을 돌려주는 상품이다
 보험료 1억원을 일시불로 내면 다달이 이자를 연금처럼 받다가 만기 때 1억원을 받을 수 있다
 다만, 보험사들은 1억원을 돌려줄 재원을 마련한다는 목적으로 매달 지급하는 이자에서 일정 적립액(사업비 등)을 뗐다
 논란이 된 것은 바로 ‘적립액’ 부분이다
 소비자들은 ‘적립액을 뗀다’는 사실은 인지하지 못했다고 주장한다
 보험사는 약관에 명시돼 있다고 반박하고 있지만, 소비자들은 그 어떤 설명도 듣지 못했다며 2017년 금감원 분조위에 미지급금에 대한 조정을 신청했다
 당시 금감원은 ‘보험사가 약관에 분명하게 명시하지 않았다’는 점을 들어 생보사들에게 지급하지 않은 연금액을 모두 주라고 권고했다
 소비자의 편을 들어준 것이다
 하지만 생보사들은 이를 거부했다
 결국 소비자들은 금융소비자단체인 금융소비자연맹과 공동소송에 나섰고 결국 법정 다툼을 벌이게 됐다
 금융감독원이 2018년에 파악한 즉시연금 미지급금 분쟁 규모는 약 1조원에 가깝다
 이 중 삼성생명이 4300억원(5만5000명)으로 가장 많고, 이어 한화생명은 850억원(2만5000명), 교보생명은 700억원(1만5000명) 규모로 파악되고 있다
  삼성생명 약관, 동양생명과 유사…소송결과 ‘주목’즉시연금 공동소송은 약 2년여의 시간이 지난 지난해 말부터 이슈화하기 시작했다
 첫 번째로 판결이 난 곳은 지난 9월 NH농협생명이다
 NH농협생명은 소비자들을 상대로 승소했다
 하지만 이후 나온 미래에셋생명과 동양생명은 줄줄이 패소했다
 소송의 승패를 가른 건 상품의 ‘약관’ 설명이다
 적립액을 차감한다는 내용이 얼마나 상세하게 들어있느냐의 차이다
 NH농협생명의 약관에는 ‘가입 후 5년간 연금월액을 적게 해 5년 후 적립액이 보험료와 같도록 함’으로 기재돼 있다
 법원은 적립액 차감 내용이 명시적으로 들어있다고 판단했다
 하지만 미래에셋생명과 동양생명의 경우 설명이 부족했다고 봤다
 최근 판결이 난 동양생명의 당시 약관은 ‘피보험자(보험대상자)가 보험기간 중 매년 연금지급 해당일에 살아있을 때 연금개시시점의 ‘연금계약 적립액’을 기준으로 계산한 생존연금을 지급한다’로 명시돼있다
 법원은 “약관 문구만으로는 연금월액이 어떠한 방법으로 산출되는지 전혀 알 수 없다”며 소비자들의 손을 들어줬다
 관건은 미지급금 규모가 가장 큰 삼성생명의 약관이 동양생명과 유사하다는 점이다
 삼성생명의 당시 약관은 ‘연금지급 개시 시의 연금계약의 적립액을 기준으로 계산한 연금월액을 연금개시후 보험기간 동안 매월 계약 해당일에 지급’이라고 돼 있다
 순서는 조금 다르지만 상당한 유사점을 보인다
 현재 삼성생명은 별다른 입장표명을 하지 않고 있다
 동양생명 약관보다 좀 더 상세한 내용을 기술했다며 승소 자신감을 보이는 것으로 알려졌다
 한 보험업계 관계자는 “한화ㆍ교보생명은 미래에셋생명 약관과 거의 유사한 것으로 알고 있다”며 “삼성생명은 동양생명과 약관이 유사한 것으로 알려져 법원판결 결과에 관심이 집중되고 있다”고 말했다
 (그래픽=이동훈 기자)전선형 (sunnyjun@edaily
co
kr)▶ #24시간 빠른 #미리보는 뉴스 #eNews+▶ 네이버에서 '이데일리 뉴스'를 만나보세요▶ 빡침해소, 청춘뉘우스 '스냅타임'＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004836334
생명보험	이제 푸르덴셜생명 보험 모바일로 가입 가능한다	"   19일 푸르덴셜생명에 따르면 '옴니청약'은 별도의 앱 설치가 필요하지 않은 것이 최대 장점이다
  [파이낸셜뉴스] 푸르덴셜생명이 디지털 혁신에 속도를 내고 있다
   푸르덴셜생명은 옴니청약 작성 중 통신이 불안정하거나 고객이 청약서 작성을 중단해야 하는 경우를 대비해 작성 직전의 청약정보를 저장하는 기능을 추가했다"	"  [파이낸셜뉴스] 푸르덴셜생명이 디지털 혁신에 속도를 내고 있다
 영업관리 시스템 '제임스', 챗봇 서비스에 이어 모바일 보험 가입 서비스인 '옴니(OMNI) 청약' 서비스를 선보인 것
   19일 푸르덴셜생명에 따르면 '옴니청약'은 별도의 앱 설치가 필요하지 않은 것이 최대 장점이다
 담당 설계사가 고객에게 '옴니청약서'를 전송하면 문자메시지(SMS)나 카카오톡으로 청약서 링크가 전달된다
 고객은 링크를 열어 청약서를 작성하고, 모바일 약관을 다운로드한 후 청약 접수를 완료할 수 있다
   푸르덴셜생명은 옴니청약 작성 중 통신이 불안정하거나 고객이 청약서 작성을 중단해야 하는 경우를 대비해 작성 직전의 청약정보를 저장하는 기능을 추가했다
 또한 작성 중 언제든지 담당 설계사와 통화할 수 있는 기능을 넣어 고객편의를 도모했다
   푸르덴셜생명은 통합 영업관리 시스템인 '제임스', 영업 지원을 위한 '챗봇 서비스' 등을 도입해 디지털 혁신에 속도를 내고 있다
   푸르덴셜생명 관계자는 ""옴니청약은 고객이 직접 청약 절차를 진행해야 하기 때문에 '고객 경험'에 기반한 서비스 개발을 위해 노력했다""며 ""푸르덴셜생명은 앞으로도 고객 중심의 다양한 디지털 플랫폼을 개발하여 차별화된 금융 서비스를 제공할 것""이라고 말했다
    hsk@fnnews
com 홍석근 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]▶ 날로먹고 구워먹는 금융이슈 [파인애플]  ※ 저작권자 ⓒ 파이낸셜뉴스
 무단 전재-재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004567830
생명보험	생명보험재단, 기린 신곡 ‘이젠’ 안무와 AR 댄스 필터 공개	"플레이라이프 송 이젠 안무는 스트레스 해소에 도움을 주는 동작과 함께 전체적으로 경쾌한 동작을 포인트로 했으며 반복되는 가사 무너질 수 없어의 안무는 현실의 벽을 넘어보자는 의지를 담아 코로나19로 지친 청년들에게 용기와 희망을 북돋워주는 안무로 구성했다
 사진=생명보험사회공헌재단 제공생명보험사회공헌재단이 힙합 뮤지션 기린의 '이젠' 안무와 AR 안무 필터를 공개한다고 21일 밝혔다
 생명보험재단 송기정 상임이사는 “지난 11월부터 누구나 힘든 시기에 우울감을 해소할 수 있도록 디지털 힐링 공간 플레이 라이프에서 다양한 컨텐츠를 마련하고 있다”며 “이번에 공개한 기린 이젠의 안무 영상과 댄스 필터를 통해 청년들이 긍정 에너지와 일상의 활력을 되찾기를 응원한다”고 말했다"	"◆…생명보험재단이 경쾌한 동작을 담은 기린 신곡 '이젠'의 안무를 공개했다
 사진=생명보험사회공헌재단 제공생명보험사회공헌재단이 힙합 뮤지션 기린의 '이젠' 안무와 AR 안무 필터를 공개한다고 21일 밝혔다
 생명존중 디지털 플랫폼 PLAY LIFE의 일환으로 선보이는 두번째 안무 콜라보다
플레이라이프 송 이젠 안무는 스트레스 해소에 도움을 주는 동작과 함께 전체적으로 경쾌한 동작을 포인트로 했으며 반복되는 가사 무너질 수 없어의 안무는 현실의 벽을 넘어보자는 의지를 담아 코로나19로 지친 청년들에게 용기와 희망을 북돋워주는 안무로 구성했다
생명보험재단은 이젠 안무를 누구나 쉽게 따라 할 수 있고 긍정적 에너지가 화면 너머까지 전해지도록 AR(증강현실) 기반 댄스 필터도 함께 선보였다
 AR 댄스 필터는 플레이 라이프 디지털 플랫폼과 인스타그램에서 누구나 이용 가능하다
 생명보험재단 송기정 상임이사는 “지난 11월부터 누구나 힘든 시기에 우울감을 해소할 수 있도록 디지털 힐링 공간 플레이 라이프에서 다양한 컨텐츠를 마련하고 있다”며 “이번에 공개한 기린 이젠의 안무 영상과 댄스 필터를 통해 청년들이 긍정 에너지와 일상의 활력을 되찾기를 응원한다”고 말했다
한편 생명보험재단은 지난 11월 생명존중문화 확산을 위한 디지털 플랫폼 플레이 라이프(playlife
kr)를 런칭해 위로와 공감 컨텐츠를 선보이고 있다
 첫 번째 컨텐츠로 싱어송라이터 하림과 함께 테마송 PLAY LIFE를 발표했으며 이어 첫번째 플라송 위로의 말은 누가 해주나요를 발표한 바 있다
 생명보험재단은 2007년 삼성생명, 교보생명, 한화생명 등 20개 생명보험회사의 공동 협약에 의해 설립된 공익법인이다
 생명보험이 지향하는 생명존중, 생애보장정신에 입각한 사회공헌 활동을 통해 기업의 사회적 책임을 다하고자 노력하고 있다
 생명존중문화, 자살예방, 고령화극복 분야를 중심으로 지방자치단체를 비롯해 복지기관과 협업해 사각지대 해소를 위한 사업을 전개하고 있다
▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)이민재(myfinkl@joseilbo
com)저작권자 ⓒ 조세일보(http://www
joseilbo
com)
 무단전재 및 재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=123&aid=0002238713
생명보험	푸르덴셜생명, 보험업계 최초 '스마트오피스' 전사 도입	" 푸르덴셜타워 18층에서 22층까지 총 5개 층 약 1,400평 규모로 조성된 스마트오피스는 기존 전형적인 사무실 공간에서 미래 지향적인 업무 공간으로 탈바꿈했다
 이날 푸르덴셜생명은 업계 최초 전사 스마트오피스 구축을 기념하며 오픈식을 개최했다
 /사진 제공=푸르덴셜생명[서울경제] 푸르덴셜생명이 효율적인 업무 환경 조성을 위한 스마트오피스를 오픈했다고 18일 밝혔다"	"민기식(오른쪽 두번째) 푸르덴셜생명 대표이사 사장과 양종희 KB금융지주 부회장( 〃첫번째)이 18일 서울 역삼동 푸르덴셜타워에서 업계 최초 전사 스마트오피스 구축 기념 오픈식에 참석해 자율좌석시스템 이용 방법에 대한 설명을 듣고 있다
 /사진 제공=푸르덴셜생명[서울경제] 푸르덴셜생명이 효율적인 업무 환경 조성을 위한 스마트오피스를 오픈했다고 18일 밝혔다
 그동안 부분적으로 자율좌석제를 운영한 경우는 있었지만 본사 전체에 스마트오피스를 도입한 보험사는 푸르덴셜생명이 처음이다
이날 서울 역삼동 푸르덴셜타워에서 열린 기념식에는 양종희 KB금융지주 부회장과 민기식 푸르덴셜생명 대표이사 사장, 임직원 대표 등이 참석했다
 푸르덴셜타워 18층에서 22층까지 총 5개 층 약 1,400평 규모로 조성된 스마트오피스는 기존 전형적인 사무실 공간에서 미래 지향적인 업무 공간으로 탈바꿈했다
푸르덴셜생명 직원들은 사무실 입구에 설치된 키오스크를 통해 원하는 자리에서 업무를 볼 수 있다
 임원들 또한 임원실을 선택하여 사용할 수 있으며, 사용하지 않는 임원실은 직원들의 회의 공간으로 이용 가능하다
 사무실을 개방적인 업무 공간으로 만들어 임직원들이 아이디어를 주고받고 자연스럽게 부서 간 소통과 협업이 이뤄질 수 있도록 구성했다
 푸르덴셜생명은 스마트오피스 오픈과 더불어 기존 임직원들의 재택근무를 상시 운영한다
 푸르덴셜생명 관계자는 ""유연한 근무 형태와 업무환경의 변화를 기반으로 일하는 방식의 혁신을 만들어갈 것""이라고 설명했다
민기식(왼쪽 두번째) 푸르덴셜생명 대표이사 사장과 양종희(〃 세번째) KB금융지주 부회장이 18일 푸르덴셜생명의 스마트오피스를 둘러보고 있다
 이날 푸르덴셜생명은 업계 최초 전사 스마트오피스 구축을 기념하며 오픈식을 개최했다
 /사진 제공=푸르덴셜생명안진희 푸르덴셜생명 경영지원본부 상무는 “푸르덴셜생명은 VDI(데스크톱 가상화)시스템을 일찍이 정착시켜 코로나19 상황에서 임직원들을 빠르게 재택근무로 전환하고 안정적으로 업무 체계를 유지했다”며 “스마트오피스 도입으로 탄력적인 근무 환경을 유지하고 시대 변화에 빠르게 대응하는 조직문화를 만들어 나갈 것”이라고 밝혔다
 /김현진 기자 stari@sedaily
com▶ 상위 1% 투자자 픽! [주식 초고수는 지금]▶ 전문가에게 듣는 성공 방정식 [투자의 창]▶ 네이버 채널에서 '서울경제' 구독해주세요!저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003858424
생명보험	생명보험재단, 기린 신곡 '이젠' 안무와 AR 안무 필터 공개	" [파이낸셜뉴스] 생명보험사회공헌재단(이사장 이종서, 이하 생명보험재단)이 힙합 뮤지션 기린의 '이젠' 안무와 AR 안무 필터를 공개했다
 이 AR(증강현실) 댄스 필터는 플레이 라이프 디지털 플랫폼과 인스타그램에서 누구나 이용 가능하다
   플레이라이프 송 '이젠' 안무는 스트레스 해소에 도움을 주는 동작과 함께 전체적으로 경쾌한 동작을 포인트로 하였으며, 반복되는 가사 '무너질 수 없어'의 안무는 현실의 벽을 넘어보자는 의지를 담아 코로나19로 인해 지친 청년들에게 용기와 희망을 북돋워주는 안무로 구성했다"	" [파이낸셜뉴스] 생명보험사회공헌재단(이사장 이종서, 이하 생명보험재단)이 힙합 뮤지션 기린의 '이젠' 안무와 AR 안무 필터를 공개했다
 이는 생명존중 디지털 플랫폼 'PLAY LIFE(이하 플레이 라이프)'의 일환으로 선보이는 두번째 안무 콜라보다
   플레이라이프 송 '이젠' 안무는 스트레스 해소에 도움을 주는 동작과 함께 전체적으로 경쾌한 동작을 포인트로 하였으며, 반복되는 가사 '무너질 수 없어'의 안무는 현실의 벽을 넘어보자는 의지를 담아 코로나19로 인해 지친 청년들에게 용기와 희망을 북돋워주는 안무로 구성했다
   이와 함께 생명보험재단은 '이젠' 안무를 누구나 쉽게 따라 할 수 있고 긍정적 에너지가 화면 너머까지 전해지도록 AR(증강현실) 기반 댄스 필터도 함께 선보였다
 이 AR(증강현실) 댄스 필터는 플레이 라이프 디지털 플랫폼과 인스타그램에서 누구나 이용 가능하다
   생명보험재단 송기정 상임이사는 ""지난 11월부터 누구나 힘든 시기에 우울감을 해소할 수 있도록 디지털 힐링 공간 '플레이 라이프'에서 다양한 컨텐츠를 마련하고 있다""며 ""이번에 공개한 기린 '이젠'의 안무 영상과 댄스 필터를 통해 청년들이 긍정 에너지와 일상의 활력을 되찾기를 응원한다""고 전했다
   한편, 생명보험재단은 지난 11월 생명존중문화 확산을 위한 디지털 플랫폼 '플레이 라이프(playlife
kr)'를 런칭해 위로와 공감 컨텐츠를 선보이고 있다
 첫 번째 컨텐츠로 싱어송라이터 하림과 함께 테마송 'PLAY LIFE'를 발표했으며, 이어 첫 번째 플라송 '위로의 말은 누가 해주나요'를 발표한 바 있다
   생명보험재단은 2007년 삼성생명, 교보생명, 한화생명 등 20개 생명보험회사의 공동 협약에 의해 설립된 공익법인이다
 생명보험이 지향하는 생명존중, 생애보장정신에 입각한 사회공헌 활동을 통해 기업의 사회적 책임을 다하고자 노력하고 있다
 생명존중문화, 자살예방, 고령화극복 분야를 중심으로 지방자치단체를 비롯해 복지기관과 협업해 사각지대 해소를 위한 사업을 전개하고 있다
   #지친 청년들을 위한 플레이라이프 #쳥년들의게이트키퍼 #플레이라이프 #Play Life #플라송 #기린 #이젠 #극복 #희망 #AR필터 #댄스필터    hsk@fnnews
com 홍석근 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]▶ 날로먹고 구워먹는 금융이슈 [파인애플]  ※ 저작권자 ⓒ 파이낸셜뉴스
 무단 전재-재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004570643
생명보험	생명보험재단, 소방공무원 처우개선으로 행정안전부장관 표창	"생명존중대상은 급박한 위기의 순간에 위험을 무릅쓰고 국민의 생명을 구한 우리 사회의 영웅들을 발굴하고, 사례를 널리 알림으로써 사회 전반에 생명존중문화를 확산시키기 위한 상찬사업이다
 [사진=생명보험사회공헌재단][아이뉴스24 허재영 기자] 생명보험사회공헌재단이 재난 현장에서 국민의 생명을 구하기 위해 헌신한 소방공무원들의 처우개선을 위해 노력해온 공로를 인정받아 소방공무원 처우개선 유공 행정안전부장관 표창을 받았다고 19일 밝혔다
생명보험재단은 국민의 안전을 위해 살신성인 정신으로 생명존중을 실천한 소방공무원을 비롯해 해양경찰공무원, 경찰공무원 및 일반인 등 30여명의 공로자를 발굴해 2009년부터 '생명존중대상'을 시상하고 있으며, 지난 12년 간 총 251명의 소방공무원을 발굴해 시상 및 시상금을 지원한 바 있다"	"매년 '생명존중대상' 통해 소방공무원 노고 격려생명보험사회공헌재단 관계자들이 행정안전부장관 표창을 받고 기념사진을 촬영하고 있다
 [사진=생명보험사회공헌재단][아이뉴스24 허재영 기자] 생명보험사회공헌재단이 재난 현장에서 국민의 생명을 구하기 위해 헌신한 소방공무원들의 처우개선을 위해 노력해온 공로를 인정받아 소방공무원 처우개선 유공 행정안전부장관 표창을 받았다고 19일 밝혔다
생명보험재단은 국민의 안전을 위해 살신성인 정신으로 생명존중을 실천한 소방공무원을 비롯해 해양경찰공무원, 경찰공무원 및 일반인 등 30여명의 공로자를 발굴해 2009년부터 '생명존중대상'을 시상하고 있으며, 지난 12년 간 총 251명의 소방공무원을 발굴해 시상 및 시상금을 지원한 바 있다
생명존중대상은 급박한 위기의 순간에 위험을 무릅쓰고 국민의 생명을 구한 우리 사회의 영웅들을 발굴하고, 사례를 널리 알림으로써 사회 전반에 생명존중문화를 확산시키기 위한 상찬사업이다
이종서 생명보험재단 이사장은 ""재난현장에서 국민의 생명을 위해 헌신한 소방공무원 땀과 노력에 감사의 말씀을 드린다""며 ""생명보험재단도 생명존중대상을 통해 소방공무원의 사기와 긍지를 높이고, 그들의 노력이 더 널리 알려지기 위한 생명존중 문화 확산 활동에 집중하겠다""고 소감을 전했다
한편 생명보험재단은 2007년 삼성생명, 교보생명, 한화생명 등 20개 생명보험사의 공동 협약에 의해 설립된 공익법인이다
허재영기자 huropa@inews24.com▶네이버 채널에서 '아이뉴스24'를 구독해주세요
▶재밌는 아이뉴스TV 영상보기 ▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000579750
