keyword	title	summary	content	url	date	press
생명보험	미래에셋생명, 변액보험 스마트케어 서비스 가동	" 미래에셋생명은 변액보험 가입 고객에게 계약관리 서비스를 제공하는 변액 스마트케어 서비스를 신설해 운영한다고 3일 밝혔다
미래에셋생명은 누적 초회보험료 기준 1조2635억원으로 전체 변액보험시장 점유율 52%를 차지한 것을 기념해 서비스 이용 고객을 대상으로 경품 이벤트를 진행한다
 별도의 어플리케이션을 설치하지 않아도 카카오톡을 통해 변액보험의 수익률 및 투자정보 등을 조회할 수 있으며, 스마트케어 알림 서비스 신청시 가입한 변액보험의 수익률 현황 및 수익률 관리 팁 등 맞춤형 알림톡을 받아 볼 수 있다"	" 미래에셋생명은 변액보험 가입 고객에게 계약관리 서비스를 제공하는 변액 스마트케어 서비스를 신설해 운영한다고 3일 밝혔다
최신 디지털 기술을 적용해 사용자 편의에 맞춰 화면 및 서비스를 직관적으로 구성했다
 별도의 어플리케이션을 설치하지 않아도 카카오톡을 통해 변액보험의 수익률 및 투자정보 등을 조회할 수 있으며, 스마트케어 알림 서비스 신청시 가입한 변액보험의 수익률 현황 및 수익률 관리 팁 등 맞춤형 알림톡을 받아 볼 수 있다
미래에셋생명은 누적 초회보험료 기준 1조2635억원으로 전체 변액보험시장 점유율 52%를 차지한 것을 기념해 서비스 이용 고객을 대상으로 경품 이벤트를 진행한다
 추첨을 통해 스타벅스 아메리카노 모바일 쿠폰을 지급한다
이후민 미래에셋생명 고객서비스본부장은 ""변액 스마트케어 서비스는 고객동맹자문단의 의견을 수렴해 고객과 함께 만든 시스템으로 누구나 쉽고 편리하게 변액보험을 관리할 수 있는 사용자 경험을 제공할 것""이라며 ""많은 고객이 미래에셋생명 변액보험과 함께 평안한 노후준비를 하기 바란다""고 밝혔다
오현길 기자 ohk0414@asiae
co
kr▶ 2021년 신축년(辛丑年) 신년운세와 토정비결은?▶ 발 빠른 최신 뉴스, 네이버 메인에서 바로 보기▶ 100% 무료취업교육 핀테크/AI 훈련정보(클릭)<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004840827	2021-02-04	아시아경제
생명보험	미래에셋생명, '다자녀 출산여성 암보험료 특약' 독점 판매한다	"미래에셋생명은 지난달 26일 업계 최초로 다자녀 출산여성 특정 암보험료 할인 특약에 대한 3개월의 배타적 사용권을 획득했다고 2일 밝혔다
 미래에셋생명의 다자녀 출산여성에 대한 암보험료 할인 특약이 독점 판매 권한을 획득하면서 해당 특약과 차별화된 상품개발 노력이 주목을 받고 있다
 유방암, 난소암 발생률은 여성호르몬과 밀접한 관계가 있는데 미래에셋생명은 임신 경험 여부에 따라 유방암 등 여성암의 상대위험도 차이가 있는 것에 착안해 이 특약을 개발했다"	" 미래에셋생명의 다자녀 출산여성에 대한 암보험료 할인 특약이 독점 판매 권한을 획득하면서 해당 특약과 차별화된 상품개발 노력이 주목을 받고 있다
미래에셋생명은 지난달 26일 업계 최초로 다자녀 출산여성 특정 암보험료 할인 특약에 대한 3개월의 배타적 사용권을 획득했다고 2일 밝혔다
 배타적 사용권은 생·손보협회 신상품심의위원회가 새로운 제도 및 서비스, 위험담보 등 소비자를 위한 창의적 상품에 대해 독점 판매 권리를 부여한 제도로 일종의 보험업계 특허권이다
우리나라에서 암 발생률은 하락하고 있으나 유방암 및 난소암 발생률은 상승하고 있는 추세다
 유방암, 난소암 발생률은 여성호르몬과 밀접한 관계가 있는데 미래에셋생명은 임신 경험 여부에 따라 유방암 등 여성암의 상대위험도 차이가 있는 것에 착안해 이 특약을 개발했다
 신상품심의위는 출산이 난소암, 유방암의 위험 발생요소인 여성호르몬 분비량에 영향을 미치는 특성을 활용해 다자녀 출산 피보험자에게 보험료 할인서비스를 제공하는 것에 대한 독창성과 진보성을 인정해 배타적 사용권을 부여했다
미래에셋생명의 차별화된 보험상품 개발 노력도 눈길을 끌고 있다
 다자녀 출산여성 특정 암보험료 할인 특약은 지난 2019년 의료기기 업체와 제휴를 맺고 유방암 전문 보험상품 공동개발 추진을 시작으로 출산·모유수유 연계 유방암 위험률 개발, 출산 연계 난소암 위험률 개발 등을 진행하며 총 2년의 준비기간을 거쳐 선보이게 됐다
 이외에도 미래에셋생명은 자궁경부암 백신 암보험료 할인 특약, 비흡연 치아보험료 할인 특약의 배타적 사용권을 획득하기도 했다
오은상 미래에셋생명 상품개발본부장은 “기존 암보험 상품에 다자녀 출산여성 특정 암보험료 할인 특약을 적용할 경우 보험료가 1.5~2% 수준 줄어들게 된다
 3월 출시되는 암보험 신상품을 통해 자녀를 출산하는 여성 고객들이 더욱 저렴한 금액으로 보장 혜택을 누리시기 바란다”고 말했다
 konplash@sportsseoul
com[기사제보 news@sportsseoul
com]  Copyright ⓒ 스포츠서울&sportsseoul
com"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=468&aid=0000739353	2021-02-04	스포츠서울
생명보험	미래에셋생명, 다자녀 출산여성 특정 암보험료 할인 특약 배타적사용권 획득	"미래에셋생명은 다자녀 출산 여성 특정 암보험료 할인 특약에 대한 3개월간 '배타적 사용권'을 획득했다고 2일 밝혔다
 유방암, 난소암 발생률은 여성호르몬과 밀접한 관계가 있는데, 특히 임신 경험 여부에 따라 유방암 등 여성암 상대위험도 차이가 있는 것에 착안해 이 특약을 개발했다
협회 신상품심의위원회는 출산이 난소·유방암의 위험 발생요소인 여성호르몬 분비량에 영향을 미치는 특성을 활용해 다자녀 출산 피보험자에게 보험료 할인 서비스를 제공하는 것에 대한 독창성과 진보성을 인정해 배타적 사용권을 부여했다"	"미래에셋생명은 다자녀 출산 여성 특정 암보험료 할인 특약에 대한 3개월간 '배타적 사용권'을 획득했다고 2일 밝혔다
배타적 사용권은 생명·손해보험협회 신상품심의위원회가 새로운 제도와 서비스, 위험담보 등 소비자를 위한 창의적 상품에 독점 판매 권리를 부여한 제도로 일종의 보험 특허권이다
우리나라에서 암 발생률은 하락하고 있으나 유방·난소암 발생률은 상승하고 있다
 유방암, 난소암 발생률은 여성호르몬과 밀접한 관계가 있는데, 특히 임신 경험 여부에 따라 유방암 등 여성암 상대위험도 차이가 있는 것에 착안해 이 특약을 개발했다
협회 신상품심의위원회는 출산이 난소·유방암의 위험 발생요소인 여성호르몬 분비량에 영향을 미치는 특성을 활용해 다자녀 출산 피보험자에게 보험료 할인 서비스를 제공하는 것에 대한 독창성과 진보성을 인정해 배타적 사용권을 부여했다
오은상 미래에셋생명 상품개발본부장은 “기존 암보험 상품에 다자녀 출산여성 특정 암보험료 할인 특약을 적용할 경우 보험료가 1.5~2% 수준 줄어들게 된다”면서 “3월 출시되는 암보험 신상품과 함께 자녀를 출산하는 여성 고객님들이 더욱 저렴한 금액으로 보장 혜택을 누리시길 바란다”고 말했다
박윤호기자 yuno@etnews
com▶ 네이버 홈에서  구독하기▶ 전자신문 바로가기 "	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002926519	2021-02-04	전자신문
생보사	공허한 소비자보호… 보험사 민원 1년새 4500건 늘었다	" 3일 보험업계에 따르면 지난해 생명·손해보험사에 접수된 민원은 6만7147건으로 전년 6만2611건 대비 7.2% 증가했다
 손보사 상품과 달리 생보사 상품은 상대적으로 불완전판매 가능성이 높다 보니 이에 따른 민원 또한 증가한 것으로 보인다
 지난해 생보사 지급 관련 민원은 7933건으로 전년 대비 19.5% 감소했다"	"지난해 6만7147건 접수 7.2%↑ 생보, 종신보험 23% 늘어 최다 손보는 自保·실손 두자리수 증가   금융당국과 보험사들이 지난해 소비자보호에 열을 올렸지만 지난해 보험사 민원이 전년보다 4500여건 늘었다
 손해보험사 민원이 4000여건(11.8%) 증가한 반면 생명보험사 민원은 500여건(1.9%) 증가했다
 3일 보험업계에 따르면 지난해 생명·손해보험사에 접수된 민원은 6만7147건으로 전년 6만2611건 대비 7.2% 증가했다
 손해보험사 민원이 상대적으로 많았다
 손보사에 접수된 민원은 총 3만7975건으로 전년 3만3981건 대비 11.8% 증가했다
 반면 지난해 생보사 민원은 2만9172건으로 전년 대비 증가률은 1.9%였다
 업권별로 증가한 민원은 달랐다
 생보사의 경우 불완전판매 등의 판매 관련 민원이, 손보사의 경우 보험유지와 보상 민원이 상대적으로 많이 증가했다
   ■생보사, 판매 민원 14.8%↑   지난해 생보사에 접수된 민원 중 판매 민원이 1만7709건으로 전년 대비 14.8% 증가했다
 손보사 상품과 달리 생보사 상품은 상대적으로 불완전판매 가능성이 높다 보니 이에 따른 민원 또한 증가한 것으로 보인다
 반면 그동안 꾸준히 민원이 많았던 지급 관련 민원은 급감했다
 지난해 생보사 지급 관련 민원은 7933건으로 전년 대비 19.5% 감소했다
 2년 1만2350건이었던 지급 관련 민원은 2년새 35% 감소했다
   상품별로 보면 종신보험과 연금보험에 민원이 늘었다
 지난해 종신보험 관련 민원은 1만3950건으로 상품 중에 가장 많았고, 증가률도 23.4%에 달했다
 반면 변액보험, 보장성보험, 저축성보험 등은 전년 대비 각각 18.5%
 14.6%, 36.2% 민원이 줄었다
 생보사 분쟁조정 신청은 전년보다 감소했다
 지난해 분쟁조정 신청은 1만7203건으로 전년 대비 11.5% 감소했다
 다만 이중 소제기로 이어진 건수는 82건으로 전년 보다 7건 늘었다
   ■손보사,車보험·실손보험 민원 多   손보사의 경우 유지관리, 보상 관련 민원이 상대적으로 많았다
 유지관리, 보상 관련 민원은 지난해에 전년 대비 각각 15.3%, 18.3% 증가했다
 반면 금융당국과 보험사들이 불완전판매 근절에 나서면서 보험모집 관련 민원이 전년 대비 9.3% 감소했다
 손보사는 실손의료보험 등 장기보장성보험과 자동차보험 관련 민원이 차지하는 비중이 월등했다
 특히 이들 상품에 대한 민원은 지난해에도 두자리수 늘었다
 장기보장성보험의 민원건수는 지난해 1만8394건으로 전년 1만6523건 대비 11.3% 증가했다
 자동차보험도 전년 대비 민원 증가률이 17.8%에 달했다
 반면 장기저축성보험 관련 민원은 전년 대비 12% 감소했다
   민원이 늘면서 분쟁조정 신청도 증가했다
 지난해 손보업계 분쟁조정 신청건수는 2만6864건으로 전년 2만5307건 대비 6.2% 감소했다
 이중 소제기로 이어진 건수 또한 늘었다
 지난해 분쟁조정 소제기 건수는 155건으로 전년 140건 대비 10.7% 증가했다
  hsk@fnnews
com 홍석근 기자   ▶ 헉! 소리나는 스!토리 뉴스 ▶ '아는 척'하고 싶은 당신을 위한 ▶ 날로먹고 구워먹는 금융이슈   ※ 저작권자 ⓒ 파이낸셜뉴스
 무단 전재-재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004578229	2021-02-04	파이낸셜뉴스
금융위원회	금융위원회 '공매도 금지 5월2일까지 연장'	"금융위원회는 오는 3월15일 종료 예정인 공매도 금지 조치를 5월2일까지 연장하고 5월3일부터 코스피200·코스닥150 주가지수 구성종목에 대해 공매도를 부분 재개하기로 했다
(서울=뉴스1) = 은성수 금융위원장이 3일 서울 종로구 정부서울청사 합동브리핑실에서 공매도 부분적 재개 관련 내용을 발표하고 있다
  (금융위원회 제공) 2021.2.3/뉴스1y2onhwa@news1.kr▶ 네이버 메인에서  구독하기!▶  뉴스1&BBC; 한글 뉴스 ▶  터닝포인트 2021 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지	"	"(서울=뉴스1) = 은성수 금융위원장이 3일 서울 종로구 정부서울청사 합동브리핑실에서 공매도 부분적 재개 관련 내용을 발표하고 있다
금융위원회는 오는 3월15일 종료 예정인 공매도 금지 조치를 5월2일까지 연장하고 5월3일부터 코스피200·코스닥150 주가지수 구성종목에 대해 공매도를 부분 재개하기로 했다
  (금융위원회 제공) 2021.2.3/뉴스1y2onhwa@news1.kr▶ 네이버 메인에서  구독하기!▶  뉴스1&BBC; 한글 뉴스 ▶  터닝포인트 2021 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0005147205	2021-02-04	뉴스1
실손보험	우리은행, 실손보험 빠른청구서비스 출시 2주만에 1200건 돌파	"실손보험 빠른청구 서비스는 실손보험 가입자가 진단서 등 종이서류 없이도 모바일뱅킹 앱(App) WON뱅킹을 통해 간편하게 신청할 수 있는 서비스다
이용대상은 WON뱅킹에 로그인한 모든 고객으로 로그인 전체메뉴, 고객지원/부가서비스, 실손보험 빠른청구를 통해 이용 가능하다
 사진=우리은행우리은행은 지난달 21일 출시한 실손보험 빠른청구 서비스를 통해 2주만에 1200건의 보험금 청구가 이뤄졌다고 4일 밝혔다"	"◆…우리은행의 실손보험 빠른청구 서비스가 출시 2주만에 1200건을 돌파했다
 사진=우리은행우리은행은 지난달 21일 출시한 실손보험 빠른청구 서비스를 통해 2주만에 1200건의 보험금 청구가 이뤄졌다고 4일 밝혔다
실손보험 빠른청구 서비스는 실손보험 가입자가 진단서 등 종이서류 없이도 모바일뱅킹 앱(App) WON뱅킹을 통해 간편하게 신청할 수 있는 서비스다
우리은행은 병원 입점 영업점에 스탠드 배너를 포함한 각종 안내물을 설치해 고객들이 병원 진료 이후 신속하게 보험금을 청구할 수 있도록 적극 안내하고 있다
이용대상은 WON뱅킹에 로그인한 모든 고객으로 로그인 전체메뉴, 고객지원/부가서비스, 실손보험 빠른청구를 통해 이용 가능하다
실손보험 빠른청구 서비스를 이용한 고객들은 “주거래은행 모바일뱅킹 앱(App)으로 손쉽게 보험금 청구 전 과정을 신청할 수 있어 편리했다”고 전했다
우리은행 관계자는 “이번에 출시한 실손보험 빠른청구 서비스를 이용해 주신 고객님들께 감사드린다”며 “앞으로도 고객 중심의 혁신적인 상품과 서비스를 제공해 나갈 것”이라고 말했다
우리은행은 작년 12월 비대면 종교활동을 지원하기 위한 온라인 헌금서비스를 출시하는 등 WON뱅킹 이용고객을 위한 다양한 생활편의서비스를 확대하여 고객에게 편리하고 유용한 서비스를 제공하고 있다
▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)김대성(kimds@joseilbo
com)저작권자 ⓒ 조세일보(http://www
joseilbo
com)
 무단전재 및 재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=123&aid=0002239681	2021-02-04	조세일보
실손보험	우리銀, 실손보험 빠른청구 서비스출시 2주만에 1200건 돌파	"지난달 21일 선보인 이 서비스는 실손보험 가입자가 진단서 등 종이서류 없이도 모바일뱅킹 애플리케이션(앱) 원(WON)뱅킹을 통해 간편하게 신청할 수 있다
우리은행은 ‘실손보험 빠른청구 서비스’를 통해 2주 만에 1200건의 보험금 청구가 이뤄졌다고 4일 밝혔다
이용대상은 원뱅킹에 로그인한 모든 고객으로, 로그인▶전체메뉴▶고객지원·부가서비스▶실손보험빠른청구를 통해 이용 가능하다"	"우리은행은 ‘실손보험 빠른청구 서비스’를 통해 2주 만에 1200건의 보험금 청구가 이뤄졌다고 4일 밝혔다
지난달 21일 선보인 이 서비스는 실손보험 가입자가 진단서 등 종이서류 없이도 모바일뱅킹 애플리케이션(앱) 원(WON)뱅킹을 통해 간편하게 신청할 수 있다
 우리은행은 병원 입점 영업점에 스탠드 배너를 포함한 각종 안내물을 설치해 고객들이 병원 진료 이후 신속하게 보험금을 청구할 수 있도록 적극 안내하고 있다
이용대상은 원뱅킹에 로그인한 모든 고객으로, 로그인▶전체메뉴▶고객지원·부가서비스▶실손보험빠른청구를 통해 이용 가능하다
우리은행 관계자는 “앞으로도 고객 중심의 혁신적인 상품과 서비스를 제공해 나갈 것”이라고 밝혔다
김효진 기자 hjn2529@asiae
co
kr▶ 2021년 신축년(辛丑年) 신년운세와 토정비결은?▶ 발 빠른 최신 뉴스, 네이버 메인에서 바로 보기▶ 100% 무료취업교육 핀테크/AI 훈련정보 보기<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004841632	2021-02-04	아시아경제
실손보험	[스마트 리빙] '4세대 실손보험' 나온다는데…어느 게 유리할까?	" 사람마다 상황이 제각각이기 때문에 어느 보험이 더 좋다고 단정할 수는 없지만, 4세대 실손보험은 의료 기관 이용이 많을수록 보험료가 오르는 구조인 만큼, 병원에서 비급여 진료를 많이 받는다면 7월 전에 보험에 가입하거나 기존 보험을 유지하는 게 유리할 수 있고요
 '4세대 실손보험'부터는 환자가 내는 자기 부담금 비율도 높아집니다
 오는 7월에 출시되는 '4세대 실손 보험'은 건강 보험이 적용되는 급여 항목은 주계약, MRI, 도수 치료와 같은 비급여 항목은 특약으로 분리돼 운영됩니다"	"동영상 뉴스		올해 7월에 새롭게 달라진 '4세대 실손의료보험'이 출시되는데요
 실손보험에 이미 가입했거나 가입할 계획이 있는 경우 기존 보험과 새 보험 가운데 어느 게 본인에게 유리할지 잘 따져보시기 바랍니다
 오는 7월에 출시되는 '4세대 실손 보험'은 건강 보험이 적용되는 급여 항목은 주계약, MRI, 도수 치료와 같은 비급여 항목은 특약으로 분리돼 운영됩니다
 이 가운데 건강 보험이 적용되지 않아서 진료비가 비싼 비급여 항목에 대해서는 의료 기관 이용률에 따라서 보험료가 5단계로 나뉘어 차등 부과됩니다
 그러니까 MRI, 도수 치료 등 비급여 진료를 많이 받으면 보험료가 최대 4배 오르고요
 병원에 가지 않는 경우에는 보험료를 5% 깎아주는 식입니다
 '4세대 실손보험'부터는 환자가 내는 자기 부담금 비율도 높아집니다
현재는 급여 진료비의 10~20%, 비급여 진료비의 경우, 20%만 본인이 부담하지만, 4세대 실손보험의 경우, 급여 진료비의 20%, 비급여 진료비의 30%를 가입자 본인이 내야 합니다
 15년이었던 보험의 재가입 주기도 5년으로 짧아지는데, 재가입 시점에 보험의 보장 조건이 바뀌면 바뀐 내용으로 가입해야 할 수 있습니다
 사람마다 상황이 제각각이기 때문에 어느 보험이 더 좋다고 단정할 수는 없지만, 4세대 실손보험은 의료 기관 이용이 많을수록 보험료가 오르는 구조인 만큼, 병원에서 비급여 진료를 많이 받는다면 7월 전에 보험에 가입하거나 기존 보험을 유지하는 게 유리할 수 있고요
병원에 자주 가지 않는다면 보험료가 할인되는 4세대 보험을 고려해보시기 바랍니다
안주희 아나운서[저작권자(c) MBC (https://imnews
imbc
com) 무단복제-재배포 금지]▶ 네이버 홈에서  채널 구독하기▶ 새로움을 탐험하다
 ""엠빅뉴스""▶  편안한데 찰진 수다의 공간Copyright(c) Since 1996, MBC&iMBC All rights reserved
	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=214&aid=0001097850	2021-02-04	MBC
실손보험	“실손보험 전산청구에 왜 돈을 내?”… 불합리한 제도 싹 뜯어 고친다	" 4일 금융업계에 따르면  금융위원회가 지난 3일 내놓은 '금융산업국 2021년 업무계획'에 따르면 정부는 올 상반기 병원에서 진료 후 곧바로 실손의료보험(실손보험) 보험금을 전산 청구할 수 있게 하는 입법을 다시 추진한다
 보험업계에 따르면 2018년 기준으로 연간 9000만건에 이르는 실손보험 청구의 76%가 팩스, 보험설계사, 방문 등을 통해 종이 서류를 기반으로 이뤄진다
  해당 법안은 보험업계 종사자나 의료기관 종사자, 자동차관리사업자 등 보험산업 관련 종사자가 사기를 주도하거나 공모할 경우 기존에 정하고 있는 형의 2분의 1을 가중토록 했다"	"정부가 실손의료보험 청구 전산화 등 보험업 현안 개정을 추진한다
 사진은 광주광역시에 있는 한 의료원
/사진=뉴스1 정부가 수년간 입법에 실패한 실손의료보험 청구 전산화를 강력하게 추진한다
 4일 금융업계에 따르면  금융위원회가 지난 3일 내놓은 '금융산업국 2021년 업무계획'에 따르면 정부는 올 상반기 병원에서 진료 후 곧바로 실손의료보험(실손보험) 보험금을 전산 청구할 수 있게 하는 입법을 다시 추진한다
 보험업계에 따르면 2018년 기준으로 연간 9000만건에 이르는 실손보험 청구의 76%가 팩스, 보험설계사, 방문 등을 통해 종이 서류를 기반으로 이뤄진다
 종이 서류를 사진으로 촬영한 후 보험사 애플리케이션(21%)이나 이메일(3%)로 청구하더라도 결국 보험사에서 수작업으로 전산에 입력해야 해 사실상 종이문서를 기반으로 하는 청구가 99%에 해당한다
 이러한 비용과 수고를 줄이려고 20대 국회에서도 실손보험 청구 간소화 입법을 추진했으나 의료계의 반발에 부닥쳤다
 의료계는 심평원이 실손보험 데이터를 들여다보거나 건강보험 대상이 아닌 비급여 의료행위까지 심사할 가능성을 염려해 청구 간소화에 극도로 부정적이다
 보험업계 관계자는 “2016년 최초 논의된 후 답보 상태에 빠진 실손의료보험 청구 간소화를 비롯해 데이터 3법 개정 이후 후속 제도 개선에도 속도가 붙도록 당국과 국회에 건의할 방침”이라고 강조했다
  보험업계는 '보험사기방지 특별법 개정안'의 통과도 기대하고 있다
  해당 법안은 보험업계 종사자나 의료기관 종사자, 자동차관리사업자 등 보험산업 관련 종사자가 사기를 주도하거나 공모할 경우 기존에 정하고 있는 형의 2분의 1을 가중토록 했다
 또한 금융위원회가 전담 조직·절차를 마련해 보험사기를 조사토록 하는 내용을 골자로 하고 있다
 업계는 보험사기 대부분이 사고 발생 후 보험금이 지급되고 나서야 의심이나 조사를 할 수 있기 때문에 관련 범죄가 증가하고 있다는 설명이다
 홍성국 더불어민주당 의원이 금융감독원으로부터 제출받은 자료에 따르면, 보험사기 적발금액은 2016년 7185여억원이었으나, 2019년 8809여억원까지 증가했다
 적발인원 또한 2016년 8만 3012명이었지만, 2019년 9만 2538명으로 늘어났다
 보험업계 관계자는 ""협회차원에서도 보험사기방지 특별법 개정안이 국회에서 조속히 처리될 수 있도록 추진하는 중“이라고 전했다
  전민준 기자 minjun84@mt
co
kr▶뜨거운 증시, 오늘의 특징주는?  ▶여론확인 '머니S설문' ▶머니S, 네이버 메인에서 보세요 <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000653743	2021-02-04	머니S언론사 
손해보험	NH농협손해보험, 홍순광 마케팅부문장·문연우 농업보험부문장 신규 선임	" 사진=NH농협손해보험  NH농협손해보험은 홍순광 전 농협중앙회 천안시지부장을 마케팅부문장에, 문연우 전 농협손해보험 위험관리책임자(CRO)를 농업보험부문장에 신규 선임했다고 3일 밝혔다
   홍순광 마케팅부문장은 1964년생으로 1989년 농협중앙회에 입사해 농협은행 대흥동지점장, 충남영업부장, 농협중앙회 천안시지부장 등을 지냈다
   문연우 농업보험부문장은 1965년생으로 1989년 농협중앙회에 입사해 농협은행 리스크감리팀장, 농협손해보험 인천총국장, CRO 등을 지냈다"	"홍순광 NH농협손해보험 마케팅부문장
 사진=NH농협손해보험  문연우 NH농협손해보험 농업보험 부문장
 사진=NH농협손해보험  NH농협손해보험은 홍순광 전 농협중앙회 천안시지부장을 마케팅부문장에, 문연우 전 농협손해보험 위험관리책임자(CRO)를 농업보험부문장에 신규 선임했다고 3일 밝혔다
   홍순광 마케팅부문장은 1964년생으로 1989년 농협중앙회에 입사해 농협은행 대흥동지점장, 충남영업부장, 농협중앙회 천안시지부장 등을 지냈다
   문연우 농업보험부문장은 1965년생으로 1989년 농협중앙회에 입사해 농협은행 리스크감리팀장, 농협손해보험 인천총국장, CRO 등을 지냈다
  king@fnnews
com 이용안 기자   ▶ 헉! 소리나는 스!토리 뉴스 ▶ '아는 척'하고 싶은 당신을 위한 ▶ 날로먹고 구워먹는 금융이슈   ※ 저작권자 ⓒ 파이낸셜뉴스
 무단 전재-재배포 금지	"	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004578233	2021-02-04	파이낸셜뉴스
